Ticker,SMH,IBB,XBI,SIL,SILJ,XME,COPX,URNM,PAVE,ITA,XAR,ILF,EFV,ARKK,CIBR,AMLP,CTA,DBMF,IWO,EMXC,BTAL,UNG,WEAT,MJ,DBA,CCRV,GLDM,PPLT
SMH,1.0,0.45234209071155873,0.4512327166801359,0.3348532586364884,0.37189604509467744,0.5695798854935419,0.5123907236981248,0.46375336154798463,0.688813068261964,0.5269529254606109,0.577283444895926,0.46408448304361055,0.4884823523418411,0.6797975634882883,0.6941086301816266,0.37656997892609073,0.06310797130141439,0.45746436305612254,0.7113559805001334,0.7615075035027511,-0.7017014674156441,0.008865595644932533,0.014269641409375826,0.14511936866032288,0.19118978965658012,0.29942335668316344,0.13231877168725556,0.21373238689636723
IBB,0.45234209071155873,1.0,0.9145408214591334,0.21776570218510138,0.25157301800038595,0.4421980224074685,0.37239692493632626,0.19826922277177053,0.5625133688313396,0.43323282569385413,0.4677558019214888,0.39639912775051506,0.5387721359352203,0.568884322014542,0.48671950183808205,0.35824752450624675,-0.04259983151772458,0.26607578533201215,0.6901868281868204,0.5027252979909224,-0.41773768325371524,0.026225209253493642,0.02718602718643232,0.2041631674792893,0.07354075586559676,0.11206561343586516,0.11484187896291626,0.1573593088205921
XBI,0.4512327166801359,0.9145408214591334,1.0,0.23134686803222237,0.2617734602246088,0.4445116638754023,0.36489252955629997,0.2372144795237738,0.536883134699126,0.44349548383686255,0.5086119943576584,0.3990965191735942,0.4732914184960246,0.6217153991206928,0.49336872067995097,0.32273624578442367,-0.045787513517043,0.262354136928767,0.7170458642664468,0.47990447590193364,-0.4709636441489965,-0.004289568107701655,0.0030010419960291314,0.212642986649317,0.037911673995142024,0.11035711933584896,0.11685222805266034,0.15849510389822516
SIL,0.3348532586364884,0.21776570218510138,0.23134686803222237,1.0,0.973435814390865,0.6694353254472225,0.6704786389794861,0.5056521039319085,0.3040269453473375,0.25074919524589645,0.3105901130991011,0.4753000464199516,0.4524600657438424,0.299648028577313,0.32069102741019123,0.24999435487714952,0.2778794068910322,0.5024078539654238,0.34957384076551695,0.49114487089643866,-0.2524067018337464,-0.03391072106013815,0.04729507777923364,0.13276051077389633,0.18143766903363598,0.28375845871241784,0.7405123178810739,0.6480360944936395
SILJ,0.37189604509467744,0.25157301800038595,0.2617734602246088,0.973435814390865,1.0,0.7013791712693382,0.6900659379385112,0.5271989641913918,0.33688958519707085,0.28796997665679597,0.3523137511924402,0.48890185885204657,0.45201353993574156,0.3270640189061006,0.34980352973802187,0.2505814018298829,0.2820552834513645,0.5219257746771054,0.3842670589369424,0.5162488815753379,-0.2798687042342307,-0.030083560549149662,0.04831336704782679,0.14937400202856393,0.19035555501266713,0.3031872407800182,0.7314853141900394,0.6362429543599684
XME,0.5695798854935419,0.4421980224074685,0.4445116638754023,0.6694353254472225,0.7013791712693382,1.0,0.7292292526739098,0.6242684193029753,0.7010790631059743,0.5470428500349719,0.6325450963741694,0.5526699022570398,0.543122587267864,0.5946436202304608,0.5214333743633601,0.41857369054060417,0.199343592880342,0.5452966590051069,0.7139230156241201,0.6174713263501469,-0.5659776205549423,-0.03251229395961913,0.05801951579471419,0.1692952930986636,0.19087616912859517,0.3401048351862533,0.46007251919623315,0.4900631338467483
COPX,0.5123907236981248,0.37239692493632626,0.36489252955629997,0.6704786389794861,0.6900659379385112,0.7292292526739098,1.0,0.523226680995059,0.4973280739666684,0.3644836528231288,0.4330120931842464,0.6295222839458541,0.647211041149298,0.4750094728079539,0.4152288363436147,0.4065643720174346,0.23537752099728443,0.5210349376781473,0.5213417777654547,0.6643431692808308,-0.4380901874978367,-0.0244344140218206,0.05781863487287265,0.18450994905933157,0.22225789293060524,0.4161993581717706,0.5148117357864526,0.538000029508594
URNM,0.46375336154798463,0.19826922277177053,0.2372144795237738,0.5056521039319085,0.5271989641913918,0.6242684193029753,0.523226680995059,1.0,0.4073375884129604,0.375705394372484,0.45107937122137953,0.4462100529286043,0.35378287036315736,0.40904230664857316,0.3690623492706031,0.2760622273073035,0.16983718648354132,0.3817845577440127,0.44939673228929966,0.49808724535143933,-0.42312568985388654,-0.0019575442781763126,0.05273753191000902,0.07987824673829866,0.17435897316591234,0.25659619402529055,0.35775137500821597,0.35505780325719505
PAVE,0.688813068261964,0.5625133688313396,0.536883134699126,0.3040269453473375,0.33688958519707085,0.7010790631059743,0.4973280739666684,0.4073375884129604,1.0,0.7244543791686586,0.7532867729452457,0.5193866049125901,0.6041993169124135,0.7115797708030233,0.6727947283524633,0.5436437130944237,0.018600301855148528,0.39945405603003514,0.886407401672601,0.645218832264351,-0.66274204666146,-0.015193892472089058,0.008650690844690483,0.17202844124970196,0.17254716522995586,0.2758730277798998,0.09431243925429961,0.1645145583188006
ITA,0.5269529254606109,0.43323282569385413,0.44349548383686255,0.25074919524589645,0.28796997665679597,0.5470428500349719,0.3644836528231288,0.375705394372484,0.7244543791686586,1.0,0.9237830144032111,0.41406084102580365,0.4912784282628965,0.5932966614357457,0.5793191562867548,0.44887471953612035,0.004976423261770712,0.3362302429262725,0.691090793511607,0.5031289915841944,-0.46676925205869685,-0.007660751766406093,0.031184504478943994,0.11814027654700264,0.11518767996936806,0.22513122902647778,0.10525469025850884,0.11095992135946132
